studentNo,studentName,courseName,score,isAbsent
202201010001,计算生1,大学英语,65.6,false
202201010001,计算生1,高等数学,60.3,false
202201010001,计算生1,计算机专业1核心课1,65.5,false
202201010001,计算生1,计算机专业1核心课2,61.0,false
202201010001,计算生1,计算机专业1核心课3,56.4,false
202201010001,计算生1,大学英语,65.6,false
202201010001,计算生1,高等数学,63.6,false
202201010001,计算生1,计算机专业1核心课1,65.4,false
202201010001,计算生1,计算机专业1核心课2,68.5,false
202201010001,计算生1,计算机专业1核心课3,61.3,false
202201010001,计算生1,大学英语,61.0,false
202201010001,计算生1,高等数学,62.0,false
202201010001,计算生1,计算机专业1核心课1,61.5,false
202201010001,计算生1,计算机专业1核心课2,63.4,false
202201010001,计算生1,计算机专业1核心课3,69.8,false
202201010001,计算生1,大学英语,65.4,false
202201010001,计算生1,高等数学,58.8,false
202201010001,计算生1,计算机专业1核心课1,58.6,false
202201010001,计算生1,计算机专业1核心课2,68.8,false
202201010001,计算生1,计算机专业1核心课3,70.3,false
202201010001,计算生1,大学英语,60.8,false
202201010001,计算生1,高等数学,61.5,false
202201010001,计算生1,计算机专业1核心课1,66.9,false
202201010001,计算生1,计算机专业1核心课2,58.0,false
202201010001,计算生1,计算机专业1核心课3,61.9,false
202201010001,计算生1,大学英语,63.0,false
202201010001,计算生1,高等数学,61.4,false
202201010001,计算生1,计算机专业1核心课1,64.1,false
202201010001,计算生1,计算机专业1核心课2,70.1,false
202201010001,计算生1,计算机专业1核心课3,67.3,false
202201010001,计算生1,大学英语,63.8,false
202201010001,计算生1,高等数学,71.4,false
202201010001,计算生1,计算机专业1核心课1,66.6,false
202201010001,计算生1,计算机专业1核心课2,70.4,false
202201010001,计算生1,计算机专业1核心课3,69.0,false
202201010001,计算生1,大学英语,67.1,false
202201010001,计算生1,高等数学,61.9,false
202201010001,计算生1,计算机专业1核心课1,65.5,false
202201010001,计算生1,计算机专业1核心课2,60.0,false
202201010001,计算生1,计算机专业1核心课3,59.9,false
202201010002,计算生2,大学英语,70.5,false
202201010002,计算生2,高等数学,61.9,false
202201010002,计算生2,计算机专业1核心课1,69.4,false
202201010002,计算生2,计算机专业1核心课2,70.0,false
202201010002,计算生2,计算机专业1核心课3,64.9,false
202201010002,计算生2,大学英语,66.8,false
202201010002,计算生2,高等数学,58.2,false
202201010002,计算生2,计算机专业1核心课1,67.4,false
202201010002,计算生2,计算机专业1核心课2,62.1,false
202201010002,计算生2,计算机专业1核心课3,64.1,false
202201010002,计算生2,大学英语,67.7,false
202201010002,计算生2,高等数学,57.8,false
202201010002,计算生2,计算机专业1核心课1,68.0,false
202201010002,计算生2,计算机专业1核心课2,58.4,false
202201010002,计算生2,计算机专业1核心课3,64.5,false
202201010002,计算生2,大学英语,68.6,false
202201010002,计算生2,高等数学,61.9,false
202201010002,计算生2,计算机专业1核心课1,68.7,false
